Feature,VIP,Percentile,Block,Important
ASP,0.795921219503407,100.0,amino_acids,True
VAL,0.554340411827902,50.0,amino_acids,True
GLN,0.243343625679166,0.0,amino_acids,False
19_F16DP_0.0 : Conc. (nM),0.98953703366527,100.0,central_carbon,True
DHAP_0.0 : Conc. (nM),0.138454178212365,50.0,central_carbon,True
11_AMP 0.0 : Conc. (nM),0.0405820100595799,0.0,central_carbon,False
3-Hexanone Area,0.593322331770546,100.0,aromatics,True
Tetrahydrothiophene Area,0.560386630046772,75.0,aromatics,True
Methyl isovalerate Area,0.360450390109289,50.0,aromatics,True
Butyl acetate Area,0.360013247165303,25.0,aromatics,False
2-Pentanol Area,0.272766225223614,0.0,aromatics,False
A0A4S8JJ79;A0A4S8JJ79;A0A804JTL2;A0A804JTL3,0.532544875843833,100.0,proteomics,True
A0A804IBQ9;A0A804IBR0,0.392354259294357,91.6666666666667,proteomics,True
A0A804J494,0.385525406079161,83.3333333333333,proteomics,True
A0A4S8JP55;A0A4S8JP55,0.337281567765607,75.0,proteomics,True
A0A804JTD6,0.247048871039577,66.6666666666667,proteomics,True
A0A804IXK2,0.21082841948492,58.3333333333333,proteomics,True
A0A804IGQ5,0.202259805619295,50.0,proteomics,True
A0A4S8J1S9;A0A4S8J1S9,0.193365712908579,41.6666666666667,proteomics,False
A0A804JK33;A0A804JK34,0.190370374374372,33.3333333333333,proteomics,False
A0A804KCN3,0.176829373424281,25.0,proteomics,False
